Classic Editor,https://wordpress.org/plugins/classic-editor/,1153
Akismet Anti-spam: Spam Protection,https://wordpress.org/plugins/akismet/,1000
"Jetpack – WP Security, Backup, Speed, & Growth",https://wordpress.org/plugins/jetpack/,1951
Classic Widgets,https://wordpress.org/plugins/classic-widgets/,245
